Report_Date,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Cases being reassigned to states,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,Daman & Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Telengana,Tripura,Unassigned,Uttar Pradesh,Uttarakhand,West Bengal
2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04,10,83,0,1,23,0,16,9,0,0,0,152,5,82,43,3,62,1,101,241,13,0,66,302,1,0,1,0,4,3,42,93,0,234,0,96,0,0,103,7,37
2020-01-05,33,1463,1,42,426,0,56,40,0,0,0,3515,7,4395,313,40,614,111,576,497,22,0,2719,10498,2,12,1,0,143,8,357,2584,0,2323,0,1039,2,0,2281,57,795
2020-01-06,33,3679,4,1272,3815,5630,293,498,0,2,0,19844,70,16779,2091,331,2446,610,3221,1269,74,0,8089,67655,71,27,1,43,1948,70,2263,8831,1,22333,0,2698,313,0,7823,907,5501
2020-01-07,97,14595,191,8227,10043,6915,440,2860,0,213,0,87360,1315,32557,14548,953,7497,2490,15242,4442,973,0,13593,174761,1234,52,160,459,7065,714,5568,18014,89,90167,0,16339,1388,0,23492,2881,18559
2020-01-08,548,140933,1591,40269,51233,0,1051,9086,0,1100,0,135598,5913,61438,34965,2564,20359,10958,124115,23613,1404,0,31806,422118,2621,823,412,1693,31877,3472,16119,41298,639,245859,0,62703,4978,0,85461,7183,70188
2020-01-09,3132,434771,4112,109040,136457,0,4346,31503,0,2367,0,174748,17418,96300,64732,6116,37698,41656,342423,75385,2681,0,63965,792541,6252,2368,1011,3950,103536,14411,53992,81693,1652,428041,0,127697,12153,0,230414,19827,162778
2020-01-10,3835,693484,9796,180811,182728,0,11938,113602,0,3040,0,279715,33418,137232,128599,14976,75070,83651,601767,196106,4269,0,128047,1384446,10983,5639,2017,6163,219119,27544,113886,135292,3012,597602,0,193600,26066,0,399082,49000,257049
2020-01-11,4332,823348,14852,206351,216086,0,14418,187270,0,3251,0,386706,43626,172782,167210,22059,94785,101761,823412,433105,6270,0,171359,1678406,18502,9452,2753,9047,290116,35013,133658,196993,3940,724522,0,240048,30794,0,481863,62328,373664
2020-01-12,4710,868064,16282,212776,234610,0,17409,237322,0,3332,0,570374,47963,209780,234126,40518,110224,109151,884897,602982,8415,0,206128,1823896,25045,11810,3847,11186,318725,36968,152091,268063,4989,781915,0,270318,32726,0,543888,74795,483484
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-02-04,10,86,0,5,24,0,16,9,0,0,0,219,5,87,43,3,62,1,110,265,13,0,99,335,1,0,1,0,4,3,46,108,0,234,0,107,0,0,113,7,53
2020-02-05,33,1463,1,43,471,0,88,43,0,0,0,3738,7,4721,360,40,639,111,589,497,22,0,2719,11506,2,12,1,0,149,8,480,2666,0,2526,0,1039,2,0,2328,58,795
2020-02-06,33,3783,22,1390,3926,6414,294,547,0,3,0,20834,71,17200,2356,340,2601,659,3408,1326,77,0,8283,70013,83,27,1,43,2104,74,2301,8980,1,23495,0,2792,420,0,8075,958,5772
2020-02-07,100,15252,195,8582,10249,6832,446,2940,0,215,0,89802,1387,33232,14941,979,7695,2521,16514,4593,990,0,13861,180298,1260,52,160,459,7316,714,5668,18312,101,94049,0,17357,1396,0,24056,2947,19170
2020-02-08,636,150209,1673,41726,54240,0,1079,9385,0,1145,0,136716,6193,62463,35758,2634,20972,11686,129287,24742,1462,0,32614,431719,2756,856,468,1831,33479,3606,17063,42646,650,251738,0,64786,5233,0,89048,7447,72777
2020-02-09,3160,445139,4212,111724,138349,0,4550,33387,0,2386,0,177060,18006,97629,66426,6255,38223,43833,351481,76525,2733,0,65490,808306,6382,2440,1020,4003,106561,14766,55508,83163,1670,433969,0,130589,12702,0,235757,20398,165721
2020-02-10,3848,700235,10020,182396,184038,0,12057,116153,0,3054,0,282752,33942,138583,129912,15219,76163,84664,611837,204241,4360,0,130088,1400922,11111,5802,2049,6244,222734,28024,115151,137485,3050,603290,0,195609,26362,0,403101,49248,260324
2020-02-11,4340,825966,14881,206517,216707,0,14476,188813,0,3255,0,392370,43768,173642,168880,22264,95325,102087,827064,440130,6287,0,172082,1683775,18750,9607,2757,9075,291825,35109,133975,198747,3958,727026,0,240970,30852,0,483832,62550,377651
2020-02-12,4718,868749,16296,212998,235152,0,17537,239215,0,3334,0,574380,48124,211257,235997,41227,110678,109332,886227,608357,8477,0,207485,1828826,25243,11875,3869,11209,319103,37020,152709,270410,5031,783319,0,270883,32764,0,545545,75268,486799
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2020-03-04,10,132,1,16,29,0,18,9,0,0,0,219,6,95,49,6,75,2,124,286,14,0,104,335,2,0,1,0,5,5,48,167,0,309,0,158,0,77,172,10,63
2020-03-05,33,1583,1,43,482,0,94,43,0,0,0,4122,7,5055,394,40,666,115,606,500,40,0,2846,12296,2,12,1,0,160,8,772,2772,0,2757,0,1063,4,0,2626,59,922
